IRF8	H-ICSBP|ICSBP|ICSBP1|IMD32A|IMD32B|IRF-8
ID4	IDB4|bHLHb27
IDH1	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD
IFI16	IFNGIP1|PYHIN2
IGF1	IGF-I|IGF1A|IGFI
IGF2R	CD222|CIMPR|M6P-R|MPR1|MPRI
IGFALS	ACLSD|ALS
IGFBP3	BP-53|IBP3
IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4
IGFBP5	IBP5
IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF
CXCR2	CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB
IL17A	CTLA8|IL-17|IL-17A|IL17
ILK	HEL-S-28|ILK-1|ILK-2|P59|p59ILK
ING1	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a
ING2	ING1L|p33ING2
CXCL10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1
PDX1	GSF|IDX-1|IPF1|IUF1|MODY4|PAGEN1|PDX-1|STF-1
IRF1	IRF-1|MAR
IRF3	-
IRF4	LSIRF|MUM1|NF-EM5|SHEP8
IRF5	SLEB10
ITGA5	CD49e|FNRA|VLA5A
ITGA7	-
ITGAV	CD51|MSK8|VNRA|VTNR
ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB
ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT
JUP	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB
CD82	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27
KISS1	HH13|KiSS-1
KRT19	CK19|K19|K1CS
LGALS7	GAL7|LGALS7A
LIFR	CD118|LIF-R|SJS2|STWS|SWS
LLGL1	DLG4|HUGL|HUGL-1|HUGL1|LLGL
VWA5A	BCSC-1|BCSC1|LOH11CR2A
LOX	-
LRMP	JAW1
LSAMP	IGLON3|LAMP
LTF	GIG12|HEL110|HLF2|LF
MARCKS	80K-L|MACS|PKCSL|PRKCSL
SMAD2	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2
SMAD4	DPC4|JIP|MADH4|MYHRS
MAL	-
MAT2A	MATA2|MATII|SAMS2
MAX	bHLHd4
MCC	MCC1
MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412
MEN1	MEAI|SCG2
MLH1	COCA2|FCC2|HNPCC|HNPCC2|hMLH1
FOXO4	AFX|AFX1|MLLT7
MME	CALLA|CD10|NEP|SFE
MNT	MAD6|MXD6|ROX|bHLHd3
MSH2	COCA1|FCC1|HNPCC|HNPCC1|LCFS2
MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94
MST1	D3F15S2|DNF15S2|HGFL|MSP|NF15S2
MST1R	CD136|CDw136|PTK8|RON
MT1F	MT1
MT1G	MT1|MT1K
MT1M	MT-1M|MT-IM|MT1|MT1K
MT2A	MT2
MTAP	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus
MXI1	MAD2|MXD2|MXI|bHLHc11
GADD45B	GADD45BETA|MYD118
