44	0,162;110183,110363;112245,112568;113133,113206;117509,117557;127643,127811;143100,143151;146347,146538;147082,147253;151936,152060;159391,159562;162485,162598;162745,162855;163027,163152;163165,163472;163805,163975;167299,167460;168324,168500;169048,169194;171859,171966;173978,174055;176261,176285;176782,176865;181626,181748;181826,182029;192204,192547;193857,193997;194360,194442;196658,196814;197895,198095;203842,204048;207182,207426;208874,209690
45	0,1276;2888,3227;3384,3441;4160,4302;4696,4801;4963,5049;7760,7814;17527,17677;25843,25900;27300,28063;28641,28812;30343,30467;33230,33401;35460,35573;36662,36772;36991,37116;40033,40236;40598,40768;48870,49031;53515,53685;56383,56860;58210,58314;60360,60437;61815,61898;62920,63123;66718,66818;68402,68542;71043,71199;72201,72398;73920,74515;77056,77300;78133,78390;78457,78738
46	0,630;8058,8131;11350,11404;13481,13631;16852,16906;27977,28168;28254,28425;30549,30673;30754,30931;32123,32441;32761,32871;34815,34940;36213,36489;43299,43469;43859,45187;51552,52116;66298,66459;70489,70629;83200,83343;84618,84722;84851,84928;89517,89600;107809,108012;111833,111933;113108,113248;123776,123932;127670,127867;130025,130231;138153,138299;140220,141802;148049,148261;160771,161831
47	0,865;1183,1320;2158,2338;2525,2626;2702,2993;3105,4869;5039,5164;5324,5400;5488,5551;5570,5982;6499,6603;7882,8609;8692,8760;8944,9222
48	0,70;392,627;41898,41978;43760,43846;57671,57790;80078,80210;81102,81370;82776,82864;82956,83043;85028,85223;86210,86367;87278,87725;91491,91662;94105,94404;96402,96509;103147,103560
49	0,565;2819,3204;4422,4820;5021,5182;5183,5495;5851,6177;6302,6407;7159,7748;8122,8227;8747,9164;9266,11879;12076,12222;12406,12500;12677,12810;13539,13686;15549,15799;16787,19360
50	0,2751;6444,6934;6967,7134;8416,8783;15140,15362;21327,22014;28565,30173;30644,31198;31731,31861;32337,33025;33078,34173;35172,35624;36947,37258;40654,40842;41365,42200;46218,46377;49321,50323;51469,52657;56839,57124;60606,60698
51	0,559;9261,9461;10994,11196;16324,16458;17943,18089;19104,19239;26793,27059;28287,28496;31387,31466;32579,32759;37060,37103;39592,39854;40285,42113
52	0,97;13170,13272;14523,14544;16968,17019;17812,18050;34600,34687;35840,35973;37440,37611;40397,40521;45038,45212;51343,51456;54635,54745;57482,57607;59272,59475;60731,61277;61771,61972;62832,62895;67014,67116;73194,73358;86361,86465;86556,86717;94889,95092;95897,96138;98789,98945;100460,100657;103960,104166;106519,106665;107500,108384
53	0,222;58239,58415;60199,60324;64914,65051;66919,67044;83532,83593;86895,87026;94873,95103;96259,96436;98565,98726;103147,103239;106515,106984;118579,118725;122065,122152;126597,126824;129775,129901;133789,133965;137247,137414;140828,141011;148415,148704;149296,149325;153050,153140;155823,155883;156949,157296;161798,162005;165189,165499;172398,172597;175212,175338;176233,176334;182212,182358;184773,184931;186901,187067;188787,188981;191596,193497
54	0,145;1876,2049;9502,9627;10819,10953;11160,11267;11681,11891;14365,15364;16475,16638;17654,17831;21287,21541;22650,22715;24652,24789;25351,25497;27402,27486;28804,28870;30286,30412;34576,34752;36058,36225;36357,36537;47575,47701;47984,48119;48879,49098;49245,49399;51648,51803;53359,53558;59235,59361;61067,61168;61590,61733;62892,63050;64229,64395;67870,68064;68770,69460
55	0,33;37,204;438,606;746,1138;8772,8884;21055,21231;21925,22050;22269,22406;23305,23430;23658,23769;24405,24591;26146,26337;27375,27482;28383,29944;30376,30468;32777,33232;33653,33740;34076,34142;34363,34489;34575,34751;38194,38392;38692,38881;39439,39673;40585,40699;40854,40998;41106,41313;41501,41811;42967,43442;44122,45122;48833,48979;49172,49330;49932,50098;52532,52953;53634,53698;56315,57475
56	0,205;53693,53803;54351,54471;66612,66836;90665,90754;91849,92012;93521,93646;94665,94914;106509,106610;112904,112993;114554,114745;123355,123449;123653,123739;130818,130914;135079,135288;136928,137068;137799,137836;138230,138324;140111,140257;185445,185524;205267,205677;218156,218306;225427,226014;227122,227232;227670,228242;229593,229784;238587,238742;245627,245876;248262,248351;257008,257180;257659,258126;266707,266841;279764,281617
57	0,185;571,664;3568,3751;8038,8126;16764,17352;28632,28789;29288,29443;30098,34262;34439,34580;35008,35241;35391,35564;36141,36288;39364,39512;40391,40498;45981,46452;50249,50711;52514,52638;52758,52830;54427,54630;56361,56504;58180,58282;64745,64929;66012,66158;66445,66574;67890,68043;68134,68262;70505,70691;72076,72165;75099,75288;75500,75582;79955,80114;89190,89268;90572,90685;92296,92460;96614,98081
58	0,123;1691,2335;3134,3249;3575,3700;3840,3968;9073,9198;11276,11337;14663,14794;19909,20112;21344,21522;25340,25501;30600,30692;33155,33358;34548,34691;36311,36398;38488,38563;40592,40718;40934,41110;41597,41817;44557,44724;45896,46077;47536,47611;50118,50440;53669,53876;57579,57899;60330,60529;61958,62084;63939,64040;65713,65859;67746,68649;68728,68894;72750,72944;73281,74594
59	0,216;1818,1959;6623,6744;13241,13407;15020,15262;16169,16357;23562,23726;28174,28329;33412,33667;33963,34125;44601,44641;45813,46281;48175,48280;48440,48556;48752,48978;49691,49796;59880,59915;61506,61541;62235,62333;63293,63451;64099,64179;66192,66599;68328,68453;69392,69491;69664,69962;70057,70223;71282,71351;72176,72333;74092,74184;78404,78506;79048,79161;79337,80034;80915,81235;81375,81673;82446,82579;83086,83148;83633,83960
60	0,194;1127,1329;1704,1819;4452,4511;5835,5996;8606,8747;16466,16587;16970,19560;25426,25592;26619,26861;29463,29657;31551,31703;32217,32372;34318,34452;36241,36403;47214,47254;48355,48497;54595,54703;59656,59763;66803,66875;69799,69904;78052,78090;79475,79576;81474,81558;82863,82943;90024,90161;90307,90432;94283,94379;96697,96926;97614,97762;97977,98046;100058,100215;104359,104451;113469,113571;124278,124379;125222,125342;126636,126766;127807,127885;130372,130480;132574,132677;135050,135183;136469,136531;137218,137355;141348,145128
61	0,23;182,391;490,601;602,773;3382,3500;4385,5994;7255,7790;8385,8541;8727,8881;10568,11429;14496,14695;15604,16644;16793,16987;17422,17572;17734,17948;18233,18576;18911,19080;19489,20071;20318,20571;20627,20740;21515,21660;21741,21838;22056,22168;22563,23064
62	0,86;174,254;2980,3359;12391,12436;15297,15745;16995,17131;19604,19762;23139,23286;23861,24010;24737,24970;31281,31454;32224,32371;32539,32687;34018,34125;36369,38215;39072,39143;42031,42155;44268,44340;47089,47292;49293,49427;49501,49597;51247,51336;53586,53689;54851,55048;60141,60367;60478,60615;62942,63128;68882,68971;70455,70644;71525,71567;72151,72310;76601,76679;77350,77463;79908,80072;80202,80658
63	0,200;2134,2402;9248,9712;11953,12108;14665,14816;15098,15331;16682,16855;17643,17790;22183,22331;25123,25230;27281,27559;31734,31805;34178,34778;38685,38757;40400,40603;44108,44242;44356,44582;47489,47578;48593,48696;50682,50879;51650,51876;55009,55146;59086,59272;64780,64898;67284,67473;67933,68852;69199,69277;69378,69826;70312,70425;71945,72109;72217,73045
64	0,1298;4364,5029;10476,10559;11244,11386;11477,11645;12289,12383;15224,15369;15706,15851;18119,18203;18353,18478;18621,19894
65	0,1074;2583,2763;12037,12152;14821,14989;15745,15839;19035,19180;33454,33599;40132,40216;45910,46035;65620,69718
66	0,133;376,496;14132,14197;40152,40188;46320,46418;49464,49552;55311,55380;56688,56785;57159,57282;59804,59860;60069,60268;61767,62151;63038,64784;69087,69156;69239,69336;69437,69528;71270,71361;71448,71520;72729,72792;80147,80224;80328,80393;80490,80579;81040,81159;88083,88187;95019,96747;98597,100211
67	0,181;2788,2906;3021,3157;3381,3995;4987,6723;7077,7326;7858,9002;9746,10308;10414,10505;10680,10769;12557,12765;12938,13029;13103,15246;16240,17633
68	0,487;6454,6583;7673,7758;10083,10180;11200,11317;12171,12308;12443,12512;13036,13132;14307,14396;19361,19483;22000,22221;23078,25199;25283,25999;27058,27169;29594,31247
69	0,184;6033,6079;6442,6537;6697,6826;6972,7201;8555,8629;9030,9143;11018,11131;11690,11812;12232,12332;12429,12514;12816,12955;13042,13190;13884,13967;14182,14306;14503,14615;14758,14929;15098,15172;15265,15335;18053,18598;18773,18837;18930,19002;19159,20156;25193,25803
70	0,67;195,492;604,925;2242,2454;3116,3298;3381,3552;4614,4709;5246,5452;5550,5652;8071,8166;8357,8476;8580,8669;9039,9149;11201,11263;11498,11626;12148,12351;13039,14740;19123,19393
71	0,257;484,1260;1341,1960;2118,2384;2641,2647;2738,2818;2906,2965;3065,3734;3807,5020;5100,5232;6578,6873;7079,7429;7517,7989
72	0,160;1888,2034;7257,7297;16388,16499;19428,19615;20132,20357;25982,26225;56395,56927;59626,59813;60300,60450;71381,71498;73614,73746;76655,77256;82585,82730;84871,84994;86191,86452;88200,88623;90361,90529;91403,91503;91809,91967;94853,95663;96475,97555
73	0,328;72083,72117;72410,72936;91308,91529;98687,98746;99405,99519;100109,100261;109530,109687;113062,113213;116264,116365;117769,118019;124056,124138;130003,130092;131874,131998;133715,133869;135713,135802;136663,136745;138941,141058
74	0,351;501,676;884,1191;3863,5131;5248,5380;5513,5563;5758,5903;6618,7666;7860,8002;9222,9713;9817,9917;11215,11373;11526,11644;11869,13641
