id	filename	md5	size	state
e235a986-e6e2-47cd-bcc9-de63c621f05f	jhu-usc.edu_PRAD.HumanMethylation450.4.lvl-3.TCGA-EJ-7791-01A-11D-2116-05.gdc_hg38.txt	9790c1ca429207ce1bccd5c09a2b8daf	141288686	live
26e3fa42-4151-430f-ba6c-0095afb7f719	jhu-usc.edu_BLCA.HumanMethylation450.3.lvl-3.TCGA-BT-A20U-11A-11D-A14Z-05.gdc_hg38.txt	540e34af403714bee5708f8039db9ace	141263486	live
3c6e13c4-bcca-40c2-af9e-5c229b35fba7	jhu-usc.edu_UCEC.HumanMethylation450.12.lvl-3.TCGA-AX-A2HF-01A-11D-A17F-05.gdc_hg38.txt	a765bb5d9be9d3457a61c233c29cac76	141296069	live
0b99714f-660f-426f-ac29-6fb986c83f69	jhu-usc.edu_HNSC.HumanMethylation450.17.lvl-3.TCGA-P3-A6T0-01A-12D-A34K-05.gdc_hg38.txt	80d6a1680c48de73ead09540d06568a8	141289335	live
b991366e-4331-4113-bd51-2a2c1e522a9f	jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-AA4W-01A-12D-A38H-05.gdc_hg38.txt	96766dce27de7157027d3b388497f1ad	141293857	live
0da86ba5-0acc-4453-a938-47bb839322e8	jhu-usc.edu_PRAD.HumanMethylation450.16.lvl-3.TCGA-KK-A8IF-01A-11D-A365-05.gdc_hg38.txt	7df7000b4c3ccfa2a33c4599c8b54295	141301011	live
2908ff83-83ec-4580-80a2-c5142b4f90cc	jhu-usc.edu_UCEC.HumanMethylation450.5.lvl-3.TCGA-AX-A1CJ-01A-11D-A138-05.gdc_hg38.txt	69de62b6f1fe2455c985c370c726fcb8	141299705	live
df060c5d-534b-48ab-b8b6-f751e0f5d492	jhu-usc.edu_KIRP.HumanMethylation450.1.lvl-3.TCGA-BQ-5879-11A-01D-1590-05.gdc_hg38.txt	5da3baeee9834099f9d5de2aa254b788	141290804	live
78d57323-0051-403e-b72d-cd0123c101f9	jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-DK-AA71-01A-31D-A392-05.gdc_hg38.txt	b14d0b1a3b601cd5fc50fb2bc16219d5	141300464	live
c29435e7-0605-437f-9ef5-6d39b8e61190	jhu-usc.edu_READ.HumanMethylation450.6.lvl-3.TCGA-EI-6881-01A-11D-1926-05.gdc_hg38.txt	d7c5a6f7a8711e2f3c3f0d7e1c63df3d	141237205	live
